school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,nursery,internet,MG1,MG2,MG3,PG1,PG2,PG3,_merge,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,alc,Pedu
GP,M,16,U,LE3,A,3,4,services,other,home,yes,yes,11.0,11.0,11.0,12.0,12.0,13.0,both,mother,1.0,2.0,0.0,yes,yes,no,yes,yes,no,5.0,3.0,3.0,1.0,1.0,5.0,4.0,2.0,7
GP,M,16,U,GT3,T,4,4,teacher,teacher,home,yes,yes,10.0,12.0,11.0,12.0,11.0,12.0,both,mother,1.0,2.0,0.0,no,yes,yes,yes,yes,yes,4.0,4.0,5.0,5.0,5.0,5.0,16.0,10.0,8
GP,M,15,U,GT3,T,4,4,health,services,home,no,yes,9.0,11.0,12.0,10.0,11.0,11.0,both,mother,1.0,2.0,0.0,no,yes,yes,no,yes,no,5.0,4.0,2.0,3.0,4.0,5.0,0.0,7.0,8
GP,M,15,U,GT3,T,4,4,services,services,reputation,yes,yes,17.0,16.0,17.0,15.0,15.0,15.0,both,mother,2.0,2.0,0.0,no,yes,no,yes,yes,no,4.0,3.0,1.0,1.0,1.0,5.0,0.0,2.0,8
GP,M,15,R,GT3,T,4,3,teacher,at_home,course,yes,yes,17.0,16.0,16.0,13.0,14.0,15.0,both,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,4.0,5.0,2.0,1.0,1.0,5.0,0.0,2.0,7
GP,M,15,U,LE3,T,3,3,other,other,course,no,yes,8.0,10.0,12.0,13.0,12.0,12.0,both,mother,1.0,2.0,0.0,no,no,no,yes,yes,no,5.0,3.0,2.0,1.0,1.0,2.0,0.0,2.0,6
GP,M,16,U,GT3,T,3,2,other,other,home,no,yes,12.0,14.0,15.0,12.0,12.0,12.0,both,mother,1.0,1.0,0.0,no,yes,yes,no,yes,no,5.0,4.0,3.0,1.0,1.0,5.0,0.0,2.0,5
GP,F,15,U,GT3,T,2,3,other,other,other,yes,no,8.0,7.0,6.0,11.0,11.0,11.0,both,father,2.0,1.0,0.0,no,yes,no,yes,yes,no,3.0,5.0,1.0,1.0,1.0,5.0,0.0,2.0,5
GP,M,15,U,LE3,T,4,3,teacher,services,home,yes,yes,15.0,16.0,18.0,14.0,14.0,14.0,both,mother,1.0,3.0,0.0,no,yes,no,yes,yes,no,5.0,4.0,3.0,1.0,1.0,4.0,2.0,2.0,7
GP,M,16,R,GT3,A,4,4,other,teacher,reputation,yes,yes,15.0,16.0,15.0,13.0,13.0,13.0,both,mother,2.0,3.0,0.0,no,yes,no,yes,yes,yes,2.0,4.0,3.0,1.0,1.0,5.0,7.0,2.0,8
GP,F,15,R,GT3,T,3,4,services,health,course,yes,yes,12.0,12.0,11.0,11.0,12.0,12.0,both,mother,1.0,3.0,0.0,yes,yes,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,2.0,2.0,7
GP,F,15,R,GT3,T,2,2,at_home,other,reputation,yes,no,14.0,13.0,13.0,14.0,13.0,12.0,both,mother,1.0,1.0,0.0,yes,yes,yes,yes,yes,no,4.0,3.0,1.0,1.0,1.0,2.0,8.0,2.0,4
GP,F,16,U,LE3,T,2,2,other,other,home,no,yes,7.0,10.0,11.0,11.0,11.0,10.0,both,mother,2.0,2.0,1.0,no,yes,no,yes,yes,yes,3.0,3.0,3.0,1.0,2.0,3.0,25.0,3.0,4
GP,M,15,U,LE3,T,4,4,teacher,other,home,no,yes,12.0,12.0,12.0,10.0,11.0,11.0,both,other,1.0,1.0,0.0,no,yes,no,no,yes,yes,5.0,4.0,3.0,2.0,4.0,5.0,8.0,6.0,8
GP,M,15,U,GT3,T,4,4,services,teacher,course,yes,yes,19.0,18.0,18.0,14.0,15.0,15.0,both,father,1.0,2.0,0.0,no,yes,no,yes,yes,no,4.0,3.0,3.0,1.0,1.0,5.0,2.0,2.0,8
GP,M,15,U,GT3,T,2,2,services,services,course,yes,yes,8.0,8.0,11.0,9.0,10.0,10.0,both,father,1.0,1.0,0.0,yes,yes,no,no,yes,no,5.0,4.0,1.0,1.0,1.0,1.0,0.0,2.0,4
GP,F,16,U,LE3,T,2,2,other,at_home,course,yes,yes,10.0,10.0,9.0,10.0,11.0,11.0,both,father,2.0,2.0,1.0,yes,no,no,yes,yes,no,4.0,3.0,3.0,2.0,2.0,5.0,14.0,4.0,4
GP,F,15,U,LE3,A,4,3,other,other,course,yes,yes,8.0,8.0,6.0,10.0,11.0,11.0,both,mother,1.0,2.0,0.0,yes,yes,yes,yes,yes,yes,5.0,2.0,2.0,1.0,1.0,5.0,8.0,2.0,7
GP,F,16,U,LE3,A,3,3,other,services,home,yes,yes,11.0,12.0,11.0,13.0,12.0,13.0,both,mother,1.0,2.0,0.0,no,yes,no,no,yes,no,2.0,3.0,5.0,1.0,4.0,3.0,12.0,5.0,6
GP,M,16,U,GT3,T,4,3,health,services,reputation,yes,yes,19.0,19.0,20.0,17.0,17.0,17.0,both,mother,1.0,4.0,0.0,no,no,no,yes,yes,no,4.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,7
GP,M,15,U,GT3,T,4,2,teacher,other,home,yes,no,15.0,15.0,14.0,11.0,12.0,13.0,both,mother,1.0,2.0,0.0,no,yes,yes,no,yes,no,4.0,3.0,3.0,2.0,2.0,5.0,2.0,4.0,6
GP,F,15,U,GT3,T,4,4,services,teacher,other,no,yes,7.0,7.0,7.0,13.0,12.0,12.0,both,father,1.0,2.0,1.0,yes,yes,no,yes,yes,no,4.0,4.0,4.0,1.0,1.0,3.0,2.0,2.0,8
GP,F,16,U,LE3,T,2,2,services,services,course,yes,yes,12.0,13.0,13.0,14.0,13.0,13.0,both,mother,3.0,2.0,0.0,no,yes,yes,no,yes,no,4.0,3.0,3.0,2.0,3.0,4.0,2.0,5.0,4
GP,F,15,U,LE3,T,4,2,health,other,other,yes,yes,11.0,13.0,13.0,16.0,14.0,16.0,both,mother,1.0,2.0,0.0,no,yes,yes,no,yes,no,4.0,3.0,3.0,1.0,1.0,5.0,2.0,2.0,6
GP,M,15,U,LE3,A,4,2,health,health,other,yes,no,11.0,11.0,10.0,10.0,9.0,9.0,both,father,2.0,1.0,1.0,no,no,no,no,yes,no,5.0,5.0,5.0,3.0,4.0,5.0,6.0,7.0,6
GP,F,15,U,GT3,T,4,4,services,services,course,yes,yes,8.0,10.0,11.0,13.0,12.0,12.0,both,mother,1.0,1.0,0.0,yes,yes,yes,no,yes,no,3.0,3.0,4.0,2.0,3.0,5.0,0.0,5.0,8
GP,F,15,U,LE3,A,3,3,other,other,other,yes,yes,10.0,13.0,13.0,13.0,12.0,13.0,both,mother,1.0,1.0,0.0,no,no,yes,no,yes,no,5.0,3.0,4.0,4.0,4.0,1.0,6.0,8.0,6
GP,F,16,U,GT3,A,2,1,other,other,other,yes,yes,8.0,9.0,10.0,12.0,13.0,12.0,both,mother,1.0,2.0,0.0,no,no,yes,yes,yes,yes,5.0,3.0,4.0,1.0,1.0,2.0,8.0,2.0,3
GP,F,15,U,GT3,A,4,3,services,services,reputation,yes,yes,14.0,15.0,15.0,15.0,14.0,15.0,both,mother,1.0,2.0,0.0,no,yes,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,1.0,0.0,2.0,7
GP,M,15,U,GT3,T,4,4,teacher,health,reputation,yes,no,14.0,15.0,15.0,15.0,15.0,16.0,both,mother,1.0,2.0,0.0,no,yes,no,yes,yes,no,3.0,2.0,2.0,1.0,1.0,5.0,4.0,2.0,8
GP,M,15,U,LE3,T,1,2,other,at_home,home,yes,yes,9.0,10.0,9.0,14.0,13.0,14.0,both,father,1.0,2.0,0.0,yes,yes,no,yes,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,2.0,2.0,3
GP,F,16,U,GT3,T,4,2,services,other,course,yes,yes,15.0,16.0,16.0,16.0,15.0,16.0,both,mother,1.0,2.0,0.0,no,yes,no,no,yes,no,4.0,2.0,3.0,1.0,1.0,5.0,2.0,2.0,6
GP,F,16,R,GT3,T,4,4,health,teacher,other,yes,no,10.0,11.0,11.0,17.0,16.0,16.0,both,mother,1.0,2.0,0.0,no,yes,no,yes,yes,no,2.0,4.0,4.0,2.0,3.0,4.0,6.0,5.0,8
GP,F,16,U,GT3,T,1,1,services,services,course,no,yes,10.0,8.0,11.0,10.0,10.0,16.0,both,father,4.0,1.0,0.0,yes,yes,no,yes,yes,yes,5.0,5.0,5.0,5.0,5.0,5.0,6.0,10.0,2
GP,F,16,U,LE3,T,1,2,other,services,reputation,yes,yes,8.0,10.0,9.0,13.0,13.0,10.0,both,father,1.0,2.0,0.0,yes,no,no,yes,yes,no,4.0,4.0,3.0,1.0,1.0,1.0,4.0,2.0,3
GP,F,16,U,GT3,T,4,3,teacher,health,home,yes,yes,10.0,9.0,9.0,14.0,13.0,13.0,both,mother,1.0,3.0,0.0,yes,yes,yes,yes,yes,no,3.0,4.0,4.0,2.0,4.0,4.0,2.0,6.0,7
GP,F,15,U,LE3,T,4,3,services,services,reputation,yes,yes,10.0,10.0,10.0,13.0,12.0,12.0,both,father,1.0,2.0,0.0,yes,no,no,yes,yes,yes,4.0,4.0,4.0,2.0,4.0,2.0,0.0,6.0,7
GP,F,16,U,LE3,T,4,3,teacher,services,course,yes,yes,16.0,15.0,15.0,16.0,15.0,16.0,both,mother,3.0,2.0,0.0,no,yes,no,yes,yes,no,5.0,4.0,3.0,1.0,2.0,1.0,2.0,3.0,7
GP,M,15,U,GT3,A,4,4,other,services,reputation,no,yes,13.0,13.0,12.0,11.0,12.0,12.0,both,mother,1.0,4.0,0.0,no,yes,no,yes,yes,yes,1.0,3.0,3.0,5.0,5.0,3.0,4.0,10.0,8
GP,F,16,U,GT3,T,3,1,services,other,course,yes,yes,7.0,7.0,6.0,10.0,9.0,10.0,both,mother,1.0,4.0,0.0,yes,yes,yes,no,yes,no,4.0,3.0,3.0,1.0,2.0,5.0,4.0,3.0,4
GP,F,15,R,LE3,T,2,2,health,services,reputation,yes,yes,8.0,9.0,8.0,11.0,10.0,11.0,both,mother,2.0,2.0,0.0,yes,yes,yes,no,yes,no,4.0,1.0,3.0,1.0,3.0,4.0,2.0,4.0,4
GP,F,15,R,LE3,T,3,1,other,other,reputation,no,yes,16.0,16.0,16.0,15.0,15.0,15.0,both,father,2.0,4.0,0.0,no,yes,no,no,yes,no,4.0,4.0,2.0,2.0,3.0,3.0,12.0,5.0,4
GP,M,16,U,GT3,T,3,1,other,other,reputation,yes,yes,13.0,15.0,15.0,13.0,11.0,11.0,both,father,2.0,4.0,0.0,no,yes,yes,no,yes,no,4.0,3.0,2.0,1.0,1.0,5.0,0.0,2.0,4
GP,M,15,U,GT3,T,4,2,other,other,course,yes,yes,10.0,10.0,10.0,11.0,9.0,10.0,both,mother,1.0,4.0,0.0,no,no,no,no,yes,no,3.0,3.0,3.0,1.0,1.0,3.0,0.0,2.0,6
GP,F,15,R,GT3,T,1,1,other,other,reputation,no,yes,8.0,6.0,5.0,13.0,11.0,11.0,both,mother,1.0,2.0,2.0,yes,yes,no,no,yes,yes,3.0,3.0,4.0,2.0,4.0,5.0,2.0,6.0,2
GP,M,16,U,GT3,T,3,1,other,other,reputation,yes,no,12.0,12.0,14.0,13.0,13.0,14.0,both,mother,1.0,1.0,0.0,no,no,no,yes,yes,no,5.0,3.0,2.0,2.0,2.0,5.0,2.0,4.0,4
GP,F,16,U,GT3,T,3,3,other,services,home,yes,yes,11.0,12.0,11.0,11.0,11.0,11.0,both,mother,1.0,2.0,0.0,yes,yes,yes,yes,yes,no,4.0,3.0,3.0,2.0,4.0,5.0,54.0,6.0,6
GP,M,15,U,GT3,T,4,3,teacher,other,home,yes,yes,9.0,9.0,10.0,11.0,11.0,11.0,both,mother,1.0,2.0,0.0,no,yes,yes,yes,yes,no,4.0,3.0,3.0,2.0,3.0,5.0,6.0,5.0,7
GP,M,15,U,GT3,T,4,0,teacher,other,course,yes,yes,11.0,11.0,10.0,12.0,11.0,11.0,both,mother,2.0,4.0,0.0,no,no,no,yes,yes,no,3.0,4.0,3.0,1.0,1.0,1.0,8.0,2.0,4
GP,F,16,U,GT3,T,2,2,other,other,reputation,yes,yes,11.0,11.0,11.0,13.0,13.0,13.0,both,mother,1.0,4.0,0.0,no,no,yes,no,yes,yes,5.0,2.0,3.0,1.0,3.0,3.0,0.0,4.0,4
GP,M,17,U,GT3,T,2,1,other,other,home,yes,yes,8.0,8.0,10.0,9.0,9.0,10.0,both,mother,2.0,1.0,3.0,yes,yes,no,yes,no,no,4.0,5.0,1.0,1.0,1.0,3.0,2.0,2.0,3
GP,F,16,U,GT3,T,3,4,at_home,other,course,yes,yes,5.0,5.0,5.0,12.0,11.0,11.0,both,mother,1.0,2.0,0.0,no,yes,no,no,yes,no,2.0,4.0,3.0,1.0,2.0,3.0,12.0,3.0,7
GP,M,15,U,GT3,T,2,3,other,services,course,no,yes,10.0,12.0,12.0,11.0,11.0,12.0,both,father,1.0,1.0,0.0,yes,yes,yes,yes,yes,yes,3.0,2.0,2.0,1.0,3.0,3.0,2.0,4.0,5
GP,M,15,U,GT3,T,2,3,other,other,home,no,yes,11.0,10.0,11.0,10.0,9.0,9.0,both,mother,1.0,3.0,0.0,yes,no,yes,no,yes,no,5.0,3.0,2.0,1.0,2.0,5.0,4.0,3.0,5
GP,F,15,U,LE3,T,3,2,services,other,reputation,yes,yes,7.0,6.0,6.0,12.0,11.0,11.0,both,mother,1.0,2.0,0.0,no,yes,yes,no,yes,no,4.0,4.0,4.0,1.0,1.0,5.0,10.0,2.0,5
GP,M,15,U,LE3,T,2,2,services,services,home,yes,yes,15.0,15.0,15.0,13.0,12.0,13.0,both,mother,2.0,2.0,0.0,no,no,yes,yes,yes,no,5.0,3.0,3.0,1.0,3.0,4.0,4.0,4.0,4
GP,F,15,U,GT3,T,1,1,other,other,home,no,yes,9.0,10.0,10.0,13.0,12.0,12.0,both,father,1.0,2.0,0.0,no,yes,no,yes,yes,no,4.0,3.0,2.0,2.0,3.0,4.0,2.0,5.0,2
GP,F,15,U,GT3,T,4,4,services,services,reputation,yes,yes,7.0,9.0,8.0,12.0,11.0,12.0,both,father,2.0,2.0,2.0,no,no,yes,no,yes,yes,4.0,4.0,4.0,2.0,3.0,5.0,6.0,5.0,8
GP,F,16,U,LE3,T,2,2,at_home,other,course,yes,no,8.0,7.0,6.0,13.0,11.0,11.0,both,mother,1.0,2.0,0.0,no,yes,no,no,yes,no,4.0,3.0,4.0,1.0,2.0,2.0,4.0,3.0,4
GP,F,15,U,GT3,T,4,2,other,other,reputation,yes,yes,13.0,14.0,14.0,15.0,15.0,15.0,both,mother,1.0,3.0,0.0,no,yes,no,yes,yes,no,5.0,3.0,3.0,1.0,3.0,1.0,4.0,4.0,6
GP,M,16,U,GT3,T,2,2,services,other,reputation,no,yes,11.0,10.0,10.0,12.0,10.0,11.0,both,father,2.0,2.0,1.0,no,no,yes,yes,yes,no,4.0,4.0,2.0,1.0,1.0,3.0,12.0,2.0,4
GP,M,16,U,LE3,A,4,4,teacher,health,reputation,yes,no,8.0,6.0,7.0,9.0,9.0,10.0,both,mother,1.0,2.0,0.0,no,yes,no,no,yes,no,4.0,1.0,3.0,3.0,5.0,5.0,18.0,8.0,8
GP,F,16,U,GT3,T,3,3,other,other,home,yes,yes,7.0,7.0,8.0,9.0,11.0,11.0,both,mother,1.0,3.0,0.0,no,yes,yes,no,yes,yes,4.0,3.0,3.0,1.0,3.0,4.0,0.0,4.0,6
GP,F,15,U,GT3,T,4,3,services,other,reputation,yes,yes,16.0,17.0,18.0,14.0,13.0,13.0,both,mother,1.0,1.0,0.0,no,no,yes,yes,yes,no,4.0,5.0,5.0,1.0,3.0,1.0,4.0,4.0,7
GP,F,16,U,LE3,T,3,1,other,other,home,yes,no,7.0,6.0,6.0,12.0,13.0,12.0,both,father,1.0,2.0,0.0,yes,yes,no,no,yes,no,3.0,3.0,3.0,2.0,3.0,2.0,4.0,5.0,4
GP,F,16,U,GT3,T,4,2,teacher,services,home,yes,yes,11.0,10.0,10.0,13.0,14.0,14.0,both,mother,2.0,2.0,0.0,no,yes,yes,yes,yes,no,5.0,3.0,3.0,1.0,1.0,1.0,0.0,2.0,6
GP,M,15,U,LE3,T,2,2,services,health,reputation,yes,yes,11.0,13.0,14.0,11.0,12.0,12.0,both,mother,1.0,4.0,0.0,no,yes,no,yes,yes,no,4.0,3.0,4.0,1.0,1.0,4.0,6.0,2.0,4
GP,F,15,R,GT3,T,1,1,at_home,other,home,yes,yes,7.0,10.0,10.0,13.0,13.0,13.0,both,mother,2.0,4.0,1.0,yes,yes,yes,yes,yes,no,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2
GP,M,16,R,GT3,T,4,3,services,other,reputation,no,yes,11.0,15.0,15.0,9.0,11.0,11.0,both,mother,2.0,1.0,0.0,yes,yes,no,yes,yes,no,3.0,3.0,3.0,1.0,1.0,4.0,2.0,2.0,7
GP,F,16,U,GT3,T,2,1,other,other,course,yes,no,8.0,9.0,10.0,13.0,12.0,12.0,both,mother,1.0,2.0,0.0,no,yes,yes,no,yes,yes,4.0,3.0,5.0,1.0,1.0,5.0,2.0,2.0,3
GP,F,16,U,GT3,T,4,4,other,other,reputation,no,yes,11.0,14.0,14.0,12.0,13.0,13.0,both,mother,1.0,1.0,0.0,no,no,no,yes,yes,no,5.0,3.0,4.0,1.0,2.0,1.0,6.0,3.0,8
GP,F,16,U,GT3,T,4,3,other,at_home,course,yes,yes,7.0,9.0,8.0,12.0,13.0,13.0,both,mother,1.0,3.0,0.0,yes,yes,yes,no,yes,no,5.0,3.0,5.0,1.0,1.0,3.0,0.0,2.0,7
GP,M,16,U,GT3,T,4,4,services,services,other,yes,yes,7.0,7.0,5.0,9.0,9.0,8.0,both,mother,1.0,1.0,0.0,yes,yes,yes,yes,yes,no,4.0,5.0,5.0,5.0,5.0,4.0,14.0,10.0,8
GP,M,16,U,GT3,T,4,4,services,teacher,other,yes,yes,16.0,17.0,17.0,16.0,16.0,16.0,both,father,1.0,3.0,0.0,no,yes,no,yes,yes,yes,4.0,4.0,3.0,1.0,1.0,4.0,0.0,2.0,8
GP,M,15,U,GT3,T,4,4,services,other,course,no,yes,10.0,13.0,14.0,12.0,13.0,12.0,both,mother,1.0,1.0,0.0,no,yes,no,yes,yes,no,5.0,3.0,3.0,1.0,1.0,5.0,4.0,2.0,8
GP,F,15,U,GT3,T,3,2,services,other,home,yes,yes,7.0,6.0,6.0,11.0,10.0,10.0,both,mother,2.0,2.0,0.0,yes,yes,yes,no,yes,no,4.0,3.0,5.0,1.0,1.0,2.0,26.0,2.0,5
GP,M,15,U,GT3,A,3,4,services,other,course,yes,yes,16.0,18.0,18.0,16.0,16.0,16.0,both,mother,1.0,2.0,0.0,no,yes,yes,yes,yes,no,5.0,4.0,4.0,1.0,1.0,1.0,0.0,2.0,7
GP,F,15,U,GT3,A,3,3,other,health,reputation,yes,no,10.0,11.0,11.0,10.0,10.0,10.0,both,father,1.0,4.0,0.0,yes,no,no,no,yes,no,4.0,3.0,3.0,1.0,1.0,4.0,10.0,2.0,6
GP,F,15,U,GT3,T,2,2,other,other,course,yes,yes,7.0,8.0,8.0,10.0,10.0,10.0,both,mother,1.0,4.0,0.0,yes,yes,yes,no,yes,no,5.0,1.0,2.0,1.0,1.0,3.0,8.0,2.0,4
GP,M,16,U,GT3,T,3,3,services,other,home,yes,yes,16.0,18.0,18.0,13.0,14.0,14.0,both,father,1.0,3.0,0.0,no,yes,no,yes,yes,no,5.0,3.0,3.0,1.0,1.0,5.0,2.0,2.0,6
GP,M,15,R,GT3,T,4,4,other,other,home,yes,yes,10.0,13.0,13.0,12.0,10.0,11.0,both,father,4.0,4.0,0.0,no,yes,yes,yes,yes,yes,1.0,3.0,5.0,3.0,5.0,1.0,6.0,8.0,8
GP,F,16,U,LE3,T,4,4,health,health,other,yes,yes,14.0,15.0,16.0,15.0,15.0,14.0,both,mother,1.0,3.0,0.0,no,yes,yes,yes,yes,yes,5.0,4.0,5.0,1.0,1.0,4.0,4.0,2.0,8
GP,M,15,U,LE3,A,4,4,teacher,teacher,course,yes,yes,18.0,19.0,19.0,13.0,14.0,14.0,both,mother,1.0,1.0,0.0,no,no,no,yes,yes,no,5.0,5.0,3.0,1.0,1.0,4.0,6.0,2.0,8
GP,F,16,R,GT3,T,3,3,services,other,reputation,yes,yes,7.0,10.0,10.0,11.0,11.0,11.0,both,father,1.0,3.0,1.0,yes,yes,no,yes,yes,no,4.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,6
